Year,Population,Total_Murders,Murder_Rate_per_100000,Total_by_Firearm,Total_Handgun,Total_Other_Firearm,Total_Percent_by_Firearms,Percent_by_Handguns,Percent_by_Other_Firearms,Total_by_Firearm_percent_change,Population_percent_Change
1971,7041074,932,13.2,628,509,119,67.4,54.6,12.8,,
1972,7441545,924,12.4,642,539,103,69.5,58.3,11.1,2.2,5.7
1973,7845092,1182,15.1,769,637,132,65.1,53.9,11.2,19.8,5.4
1974,8248851,1190,14.4,848,687,161,71.3,57.7,13.5,10.3,5.1
1975,8485230,1132,13.3,747,616,131,66,54.4,11.6,-11.9,2.9
1976,8551814,902,10.5,575,466,109,63.7,51.7,12.1,-23,0.8
1977,8717334,857,9.8,507,415,92,59.2,48.4,10.7,-11.8,1.9
1978,8967206,949,10.6,542,437,105,57.1,46,11.1,6.9,2.9
1979,9245231,1084,11.7,650,526,124,60,48.5,11.4,19.9,3.1
1980,9579497,1387,14.5,839,702,137,60.5,50.6,9.9,29.1,3.6
1981,10097754,1523,15.1,890,768,122,58.4,50.4,8,6.1,5.4
1982,10375332,1410,13.6,807,678,129,57.2,48.1,9.1,-9.3,2.7
1983,10591701,1203,11.4,571,483,88,47.5,40.1,7.3,-29.2,2.1
1984,10930389,1264,11.6,585,486,99,46.3,38.4,7.8,2.5,3.2
1985,11278547,1297,11.5,553,456,97,42.6,35.2,7.5,-5.5,3.2
1986,11657843,1371,11.8,628,532,96,45.8,38.8,7,13.6,3.4
1987,12043608,1368,11.4,697,569,128,51,41.6,9.4,11,3.3
1988,12417606,,,,,,,,,,3.1
1989,12797318,1405,11.0,888,700,188,63.2,49.8,13.4,,3.1
1990,13150027,1387,10.5,873,585,288,62.9,42.2,20.8,-1.7,2.8
1991,13195952,1276,9.7,806,565,241,63.2,44.3,18.9,-7.7,0.3
1992,13424416,1191,8.9,789,554,235,66.2,46.5,19.7,-2.1,1.7
1993,13608627,1187,8.7,800,525,275,67.4,44.2,23.2,1.4,1.4
1994,13878905,1152,8.3,739,517,222,64.1,44.9,19.3,-7.6,2
1995,14149317,1030,7.3,687,460,227,66.7,44.7,22.0,-7.0,1.9
1996,14411563,1077,7.5,668,,,62.0,,,-2.8,1.9
1997,14712922,1014,6.9,634,,,62.5,,,-5.1,2.1
1998,15000475,966,6.4,589,392,197,61.0,40.6,20.4,-7.1,2
1999,15322040,856,5.6,460,347,113,53.7,40.5,13.2,-21.9,2.1
2000,15982378,890,5.6,499,366,133,56.1,41.1,14.9,8.5,4.3
2001,16331739,867,5.3,502,339,163,57.9,39.1,18.8,0.6,2.2
2002,16674608,906,5.43,552,392,160,60.9,43.3,17.7,10.0,2.1
2003,17071508,924,5.41,586,396,190,63.4,42.9,20.6,6.2,2.4
2004,17516732,946,5.40,555,341,214,58.7,36.0,22.6,-5.3,2.6
2005,17918227,881,4.9,521,321,200,59.1,36.4,22.7,-6.1,2.3
2006,18349132,1129,6.2,740,450,290,65.5,39.9,25.7,42.0,2.4
2007,18680367,1202,6.4,825,506,319,68.6,42.1,26.5,11.5,1.8
2008,18807219,1168,6.2,780,456,324,66.8,39.0,27.7,-5.5,0.7
2009,18750483,1017,5.4,695,412,283,68.3,40.5,27.8,-10.9,-0.3
2010,18771768,987,5.3,669,389,280,67.8,39.4,28.4,-3.7,0.1
2011,18905048,985,5.2,691,390,301,70.2,39.6,30.6,3.3,0.7
2012,19074434,1009,5.3,721,357,364,71.5,35.4,36.1,4.3,0.9
2013,19259543,971,5.0,696,315,381,71.7,32.4,39.2,-3.5,1.0
2014,19507369,984,5.0,690,289,401,70.1,29.4,40.8,-2.2,1.3
2015,19815183,1040,5.2,767,340,427,73.8,32.7,41.1,5.3,1.6
2016,20148654,1108,5.5,848,405,443,76.5,36.5,40.0,19.1,1.7